MS46322A								
!12/11/2019.11:49:53.PM								
!CHANNEL.1								
!TR.MEASUREMENT								
!RF.CORRECTION: ONE.PORT.CAL.PORT[1]								
!AVERAGING.OFF								
!IF.BANDWIDTH: 1KHZ								
!NUMBER.OF.TRACES: 4								
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           				
!PARAMETER:   	S11               	S12               	S21               	S22               				
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             				
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            				
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               				
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     				
!SWEEPTYPE: FREQ.SWEEP(Linear)								
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
56	1.825	-9.38E-01	1.825	-1.01E+02	1.825	-1.02E+02	1.825	-2.59E-01
57	1.84	-5.76E-01	1.84	-1.18E+02	1.84	-1.01E+02	1.84	-4.51E-01
58	1.855	-2.41E-01	1.855	-1.15E+02	1.855	-1.03E+02	1.855	-6.36E-01
59	1.87	-3.03E-01	1.87	-1.07E+02	1.87	-1.03E+02	1.87	-8.03E-01
60	1.885	-1.50E-01	1.885	-1.02E+02	1.885	-9.87E+01	1.885	-9.39E-01
61	1.9	-6.30E-02	1.9	-1.02E+02	1.9	-1.21E+02	1.9	-1.04E+00
62	1.915	-2.33E-01	1.915	-9.62E+01	1.915	-9.74E+01	1.915	-1.10E+00
63	1.93	-5.43E-01	1.93	-9.76E+01	1.93	-1.00E+02	1.93	-1.11E+00
64	1.945	-7.36E-01	1.945	-9.99E+01	1.945	-1.06E+02	1.945	-1.09E+00
65	1.96	-8.82E-01	1.96	-1.02E+02	1.96	-1.04E+02	1.96	-1.02E+00
66	1.975	-8.40E-01	1.975	-1.02E+02	1.975	-1.02E+02	1.975	-9.15E-01
67	1.99	-1.11E+00	1.99	-1.06E+02	1.99	-1.07E+02	1.99	-7.90E-01
68	2.005	-1.03E+00	2.005	-1.00E+02	2.005	-1.14E+02	2.005	-6.36E-01
69	2.02	-7.24E-01	2.02	-1.05E+02	2.02	-1.04E+02	2.02	-4.82E-01
70	2.035	-4.15E-01	2.035	-1.02E+02	2.035	-1.06E+02	2.035	-3.36E-01
71	2.05	-4.67E-01	2.05	-1.04E+02	2.05	-1.07E+02	2.05	-2.09E-01
72	2.065	-1.68E-01	2.065	-1.02E+02	2.065	-9.91E+01	2.065	-1.11E-01
73	2.08	-2.73E-01	2.08	-9.64E+01	2.08	-1.05E+02	2.08	-6.42E-02
74	2.095	-3.70E-01	2.095	-1.06E+02	2.095	-1.01E+02	2.095	-6.72E-02
75	2.11	-5.48E-01	2.11	-9.96E+01	2.11	-9.54E+01	2.11	-1.40E-01
76	2.125	-8.51E-01	2.125	-9.78E+01	2.125	-1.08E+02	2.125	-2.82E-01
77	2.14	-8.78E-01	2.14	-1.07E+02	2.14	-9.67E+01	2.14	-4.85E-01
78	2.155	-8.76E-01	2.155	-1.10E+02	2.155	-1.01E+02	2.155	-7.46E-01
79	2.17	-6.00E-01	2.17	-1.01E+02	2.17	-1.04E+02	2.17	-1.05E+00
80	2.185	-7.18E-01	2.185	-1.01E+02	2.185	-1.01E+02	2.185	-1.37E+00
81	2.2	-6.87E-01	2.2	-9.89E+01	2.2	-9.92E+01	2.2	-1.69E+00
82	2.215	-2.21E-01	2.215	-9.41E+01	2.215	-9.85E+01	2.215	-2.00E+00
83	2.23	-4.91E-01	2.23	-9.55E+01	2.23	-1.01E+02	2.23	-2.26E+00
84	2.245	-4.31E-01	2.245	-9.20E+01	2.245	-1.05E+02	2.245	-2.47E+00
85	2.26	-4.65E-01	2.26	-9.79E+01	2.26	-9.34E+01	2.26	-2.61E+00
86	2.275	-4.92E-01	2.275	-9.70E+01	2.275	-9.76E+01	2.275	-2.66E+00
87	2.29	-6.20E-01	2.29	-9.93E+01	2.29	-9.79E+01	2.29	-2.63E+00
88	2.305	-6.00E-01	2.305	-9.94E+01	2.305	-9.67E+01	2.305	-2.52E+00
89	2.32	-8.59E-01	2.32	-9.66E+01	2.32	-9.75E+01	2.32	-2.33E+00
90	2.335	-1.08E+00	2.335	-9.66E+01	2.335	-9.94E+01	2.335	-2.08E+00
91	2.35	-1.02E+00	2.35	-9.64E+01	2.35	-9.46E+01	2.35	-1.78E+00
92	2.365	-6.35E-01	2.365	-1.02E+02	2.365	-9.52E+01	2.365	-1.46E+00
93	2.38	-5.38E-01	2.38	-1.02E+02	2.38	-9.43E+01	2.38	-1.15E+00
94	2.395	-5.22E-01	2.395	-9.80E+01	2.395	-9.45E+01	2.395	-8.54E-01
95	2.41	-4.52E-01	2.41	-1.01E+02	2.41	-9.32E+01	2.41	-6.12E-01
96	2.425	-3.30E-01	2.425	-9.75E+01	2.425	-9.10E+01	2.425	-4.37E-01
97	2.44	-5.99E-01	2.44	-9.86E+01	2.44	-8.96E+01	2.44	-3.41E-01
98	2.455	-3.35E-01	2.455	-1.01E+02	2.455	-9.19E+01	2.455	-3.36E-01
99	2.47	-8.05E-01	2.47	-9.95E+01	2.47	-9.14E+01	2.47	-4.15E-01
100	2.485	-8.69E-01	2.485	-9.82E+01	2.485	-9.18E+01	2.485	-5.69E-01
101	2.5	-1.05E+00	2.5	-9.82E+01	2.5	-9.18E+01	2.5	-7.78E-01
102	2.515	-1.21E+00	2.515	-1.08E+02	2.515	-9.32E+01	2.515	-1.03E+00
103	2.53	-1.06E+00	2.53	-9.91E+01	2.53	-9.27E+01	2.53	-1.30E+00
104	2.545	-1.07E+00	2.545	-1.01E+02	2.545	-9.16E+01	2.545	-1.57E+00
105	2.56	-9.67E-01	2.56	-9.55E+01	2.56	-9.52E+01	2.56	-1.83E+00
106	2.575	-8.60E-01	2.575	-9.74E+01	2.575	-9.62E+01	2.575	-2.06E+00
107	2.59	-8.46E-01	2.59	-9.62E+01	2.59	-1.01E+02	2.59	-2.24E+00
108	2.605	-8.53E-01	2.605	-1.09E+02	2.605	-9.84E+01	2.605	-2.38E+00
109	2.62	-9.62E-01	2.62	-9.46E+01	2.62	-9.29E+01	2.62	-2.45E+00
110	2.635	-1.17E+00	2.635	-9.75E+01	2.635	-9.61E+01	2.635	-2.46E+00
111	2.65	-1.71E+00	2.65	-9.31E+01	2.65	-9.37E+01	2.65	-2.39E+00
112	2.665	-2.16E+00	2.665	-9.35E+01	2.665	-9.48E+01	2.665	-2.25E+00
113	2.68	-2.68E+00	2.68	-9.31E+01	2.68	-9.15E+01	2.68	-2.05E+00
114	2.695	-3.38E+00	2.695	-9.20E+01	2.695	-9.32E+01	2.695	-1.79E+00
115	2.71	-4.16E+00	2.71	-9.37E+01	2.71	-8.84E+01	2.71	-1.50E+00
116	2.725	-5.67E+00	2.725	-9.31E+01	2.725	-8.70E+01	2.725	-1.20E+00
117	2.74	-8.49E+00	2.74	-9.53E+01	2.74	-8.48E+01	2.74	-9.01E-01
118	2.755	-1.40E+01	2.755	-9.96E+01	2.755	-8.51E+01	2.755	-6.32E-01
119	2.77	-3.18E+01	2.77	-1.06E+02	2.77	-8.39E+01	2.77	-4.15E-01
120	2.785	-1.19E+01	2.785	-9.86E+01	2.785	-8.60E+01	2.785	-2.64E-01
121	2.8	-7.22E+00	2.8	-9.41E+01	2.8	-8.75E+01	2.8	-1.94E-01
122	2.815	-4.51E+00	2.815	-9.57E+01	2.815	-8.64E+01	2.815	-2.03E-01
123	2.83	-3.27E+00	2.83	-9.21E+01	2.83	-8.45E+01	2.83	-2.80E-01
124	2.845	-2.44E+00	2.845	-8.93E+01	2.845	-8.37E+01	2.845	-4.19E-01
125	2.86	-2.12E+00	2.86	-8.92E+01	2.86	-8.50E+01	2.86	-6.02E-01
126	2.875	-1.84E+00	2.875	-9.22E+01	2.875	-8.58E+01	2.875	-8.20E-01
127	2.89	-1.58E+00	2.89	-9.54E+01	2.89	-9.69E+01	2.89	-1.06E+00
128	2.905	-1.65E+00	2.905	-9.40E+01	2.905	-9.68E+01	2.905	-1.30E+00
129	2.92	-1.50E+00	2.92	-9.56E+01	2.92	-1.00E+02	2.92	-1.55E+00
130	2.935	-1.26E+00	2.935	-9.31E+01	2.935	-9.79E+01	2.935	-1.78E+00
131	2.95	-1.08E+00	2.95	-9.22E+01	2.95	-9.78E+01	2.95	-2.01E+00
132	2.965	-8.62E-01	2.965	-9.35E+01	2.965	-9.95E+01	2.965	-2.21E+00
133	2.98	-6.96E-01	2.98	-9.63E+01	2.98	-9.98E+01	2.98	-2.38E+00
134	2.995	-6.11E-01	2.995	-9.48E+01	2.995	-9.86E+01	2.995	-2.51E+00
135	3.01	-6.05E-01	3.01	-1.02E+02	3.01	-9.25E+01	3.01	-2.59E+00
136	3.025	-7.35E-01	3.025	-1.04E+02	3.025	-9.97E+01	3.025	-2.62E+00
137	3.04	-7.73E-01	3.04	-1.06E+02	3.04	-9.90E+01	3.04	-2.60E+00
138	3.055	-9.21E-01	3.055	-1.04E+02	3.055	-9.38E+01	3.055	-2.53E+00
139	3.07	-1.09E+00	3.07	-1.11E+02	3.07	-9.61E+01	3.07	-2.41E+00
140	3.085	-1.10E+00	3.085	-1.02E+02	3.085	-9.71E+01	3.085	-2.25E+00
141	3.1	-1.10E+00	3.1	-1.03E+02	3.1	-9.33E+01	3.1	-2.05E+00
142	3.115	-8.76E-01	3.115	-9.61E+01	3.115	-9.49E+01	3.115	-1.85E+00
143	3.13	-8.44E-01	3.13	-9.89E+01	3.13	-9.26E+01	3.13	-1.65E+00
144	3.145	-6.04E-01	3.145	-9.55E+01	3.145	-8.94E+01	3.145	-1.48E+00
145	3.16	-4.79E-01	3.16	-9.08E+01	3.16	-8.89E+01	3.16	-1.36E+00
146	3.175	-4.27E-01	3.175	-9.84E+01	3.175	-9.40E+01	3.175	-1.29E+00
147	3.19	-4.13E-01	3.19	-9.53E+01	3.19	-9.25E+01	3.19	-1.28E+00
148	3.205	-4.24E-01	3.205	-9.39E+01	3.205	-9.13E+01	3.205	-1.33E+00
