Freq [GHz],"dB(S(2,2)) []"
5.335,-8.708687358
5.35,-7.285235685
5.365,-6.24206165
5.38,-5.457042312
5.395,-4.854308332
5.41,-4.383882042
5.425,-4.011518198
5.44,-3.713069045
5.455,-3.471119091
5.47,-3.272869348
5.485,-3.108757549
5.5,-2.971533489
5.515,-2.855625991
5.53,-2.756701809
5.545,-2.671353586
5.56,-2.596876088
5.575,-2.531103746
5.59,-2.472291305
5.605,-2.419025127
5.62,-2.370156513
5.635,-2.324750966
5.65,-2.282049074
5.665,-2.241435942
5.68,-2.202416931
5.695,-2.164598101
5.71,-2.127670178
5.725,-2.091395208
5.74,-2.055595276
5.755,-2.020142844
5.77,-1.984952399
5.785,-1.949973177
5.8,-1.915182799
5.815,-1.880581708
5.83,-1.846188303
5.845,-1.812034721
5.86,-1.778163191
5.875,-1.744622928
5.89,-1.7114675
5.905,-1.678752649
5.92,-1.646534503
5.935,-1.61486814
5.95,-1.583806468
5.965,-1.553399379
5.98,-1.523693126
5.995,-1.494729898
6.01,-1.466547548
6.025,-1.439179447
6.04,-1.412654418
6.055,-1.386996737
6.07,-1.362226146
6.085,-1.33835788
6.1,-1.315402641
6.115,-1.293366504
6.13,-1.272250718
6.145,-1.252051329
6.16,-1.23275859
6.175,-1.21435605
6.19,-1.196819232
6.205,-1.18011373
6.22,-1.16419253
6.235,-1.148992262
6.25,-1.134427999
6.265,-1.120386067
6.28,-1.106714188
6.295,-1.093208121
6.31,-1.079593944
6.325,-1.065505509
6.34,-1.050458059
6.355,-1.03382304
6.37,-1.014818691
6.385,-0.99255085
6.4,-0.966172906
6.415,-0.935273634
6.43,-0.900586946
6.445,-0.864894589
6.46,-0.833437322
6.475,-0.81272441
6.49,-0.807612809
6.505,-0.818786336
6.52,-0.842979823
6.535,-0.875373526
6.55,-0.911791098
6.565,-0.949541269
6.58,-0.987274038
6.595,-1.024528154
6.61,-1.061331663
6.625,-1.097941756
6.64,-1.13469993
6.655,-1.171959988
6.67,-1.2100564
6.685,-1.249293185
6.7,-1.289942404
6.715,-1.332246673
6.73,-1.376422956
6.745,-1.4226664
6.76,-1.471153695
6.775,-1.522045803
6.79,-1.575490049
6.805,-1.631621649
6.82,-1.69056473
6.835,-1.752432956
6.85,-1.8173298
6.865,-1.885348551
6.88,-1.956572097
6.895,-2.031072538
6.91,-2.108910668
6.925,-2.190135361
6.94,-2.274782902
6.955,-2.362876286
6.97,-2.454424515
6.985,-2.549421921
7,-2.647847547
