MS46322A
!12/11/2019.11:53:56.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT[1]
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
45	1.660000000	-6.552423E-001	1.660000000	-9.715132E+001	1.660000000	-1.145364E+002	1.660000000	-8.703734E-004
46	1.675000000	-6.251810E-001	1.675000000	-9.990662E+001	1.675000000	-1.081926E+002	1.675000000	1.158897E-001
47	1.690000000	-4.248890E-001	1.690000000	-9.616787E+001	1.690000000	-1.062624E+002	1.690000000	2.219756E-001
48	1.705000000	-6.283724E-001	1.705000000	-9.442680E+001	1.705000000	-1.015766E+002	1.705000000	3.100727E-001
49	1.720000000	-8.722609E-001	1.720000000	-1.011196E+002	1.720000000	-1.060647E+002	1.720000000	3.724627E-001
50	1.735000000	-1.517804E+000	1.735000000	-1.013387E+002	1.735000000	-1.107594E+002	1.735000000	3.961876E-001
51	1.750000000	-1.804768E+000	1.750000000	-1.049929E+002	1.750000000	-1.053771E+002	1.750000000	3.870785E-001
52	1.765000000	-1.797648E+000	1.765000000	-9.671597E+001	1.765000000	-1.036954E+002	1.765000000	3.326896E-001
53	1.780000000	-2.528633E+000	1.780000000	-1.095955E+002	1.780000000	-1.008693E+002	1.780000000	2.358169E-001
54	1.795000000	-1.738982E+000	1.795000000	-1.101298E+002	1.795000000	-1.028553E+002	1.795000000	9.639535E-002
55	1.810000000	-1.652531E+000	1.810000000	-1.003711E+002	1.810000000	-1.086451E+002	1.810000000	-7.299548E-002
56	1.825000000	-1.289762E+000	1.825000000	-1.006799E+002	1.825000000	-1.008884E+002	1.825000000	-2.587094E-001
57	1.840000000	-8.520275E-001	1.840000000	-1.001299E+002	1.840000000	-9.465094E+001	1.840000000	-4.514745E-001
58	1.855000000	-4.343513E-001	1.855000000	-1.018811E+002	1.855000000	-1.012691E+002	1.855000000	-6.368187E-001
59	1.870000000	-4.995909E-001	1.870000000	-1.017781E+002	1.870000000	-1.018313E+002	1.870000000	-8.029693E-001
60	1.885000000	-4.483771E-001	1.885000000	-1.075772E+002	1.885000000	-1.045258E+002	1.885000000	-9.397689E-001
61	1.900000000	-5.058807E-001	1.900000000	-1.027724E+002	1.900000000	-9.960056E+001	1.900000000	-1.044783E+000
62	1.915000000	-7.211375E-001	1.915000000	-1.040758E+002	1.915000000	-1.070382E+002	1.915000000	-1.100965E+000
63	1.930000000	-1.255555E+000	1.930000000	-9.775562E+001	1.930000000	-1.008745E+002	1.930000000	-1.114696E+000
64	1.945000000	-1.732737E+000	1.945000000	-9.936452E+001	1.945000000	-1.005557E+002	1.945000000	-1.085001E+000
65	1.960000000	-1.806892E+000	1.960000000	-1.030402E+002	1.960000000	-1.004593E+002	1.960000000	-1.017073E+000
66	1.975000000	-1.467053E+000	1.975000000	-1.075675E+002	1.975000000	-9.938766E+001	1.975000000	-9.154480E-001
67	1.990000000	-1.623502E+000	1.990000000	-9.944736E+001	1.990000000	-1.082989E+002	1.990000000	-7.900547E-001
68	2.005000000	-1.245306E+000	2.005000000	-1.047441E+002	2.005000000	-1.049506E+002	2.005000000	-6.378788E-001
69	2.020000000	-9.281326E-001	2.020000000	-9.971656E+001	2.020000000	-1.047176E+002	2.020000000	-4.843684E-001
70	2.035000000	-7.095389E-001	2.035000000	-9.770316E+001	2.035000000	-1.017447E+002	2.035000000	-3.376855E-001
71	2.050000000	-8.235990E-001	2.050000000	-1.055247E+002	2.050000000	-1.055222E+002	2.050000000	-2.099440E-001
72	2.065000000	-9.282426E-001	2.065000000	-1.035596E+002	2.065000000	-1.043888E+002	2.065000000	-1.121130E-001
73	2.080000000	-1.255967E+000	2.080000000	-9.833495E+001	2.080000000	-9.687640E+001	2.080000000	-6.515936E-002
74	2.095000000	-1.481434E+000	2.095000000	-9.848107E+001	2.095000000	-9.436609E+001	2.095000000	-6.902331E-002
75	2.110000000	-1.738474E+000	2.110000000	-9.878883E+001	2.110000000	-9.731216E+001	2.110000000	-1.408641E-001
76	2.125000000	-2.107523E+000	2.125000000	-9.732143E+001	2.125000000	-9.930754E+001	2.125000000	-2.820213E-001
